Timestep,Sector,Num CellSmutans,OccupiedSpace CellSmutans,Num CellSmitis,OccupiedSpace CellSmitis,Num Macromoleculeahl,OccupiedSpace Macromoleculeahl,Diffusion Rate Macromoleculeahl,EmptySpace Sector
0,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
0,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
0,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
0,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
0,4,1,0.5235987755982988,0,0.0,1488,7.423696328902061e-06,1.0,4.0642688007053716
0,5,0,0.0,0,0.0,1428,7.12435373499472e-06,1.0,4.587867875646264
0,6,0,0.0,0,0.0,1094,5.4580132955771875e-06,1.0,4.587869541986704
0,7,0,0.0,0,0.0,990,4.9391527994711295e-06,1.0,4.5878700608472
10,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
10,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
10,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
10,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
10,4,1,0.5235987755982988,0,0.0,1484,7.403740155974905e-06,1.0,4.064268820661544
10,5,0,0.0,0,0.0,1425,7.109386605299353e-06,1.0,4.587867890613394
10,6,0,0.0,0,0.0,1098,5.4779694685043434e-06,1.0,4.587869522030531
10,7,0,0.0,0,0.0,993,4.9541199291664965e-06,1.0,4.58787004588007
20,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
20,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
20,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
20,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
20,4,1,0.5235987755982988,0,0.0,1482,7.393762069511327e-06,1.0,4.064268830639631
20,5,0,0.0,0,0.0,1422,7.094419475603986e-06,1.0,4.587867905580524
20,6,0,0.0,0,0.0,1097,5.4729804252725544e-06,1.0,4.587869527019574
20,7,0,0.0,0,0.0,999,4.9840541885572305e-06,1.0,4.587870015945811
30,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
30,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
30,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
30,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
30,4,1,0.5235987755982988,0,0.0,1473,7.348860680425226e-06,1.0,4.06426887554102
30,5,0,0.0,0,0.0,1424,7.104397562067564e-06,1.0,4.587867895602438
30,6,0,0.0,0,0.0,1096,5.4679913820407654e-06,1.0,4.587869532008617
30,7,0,0.0,0,0.0,1007,5.0239665344115424e-06,1.0,4.587869976033465
40,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
40,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
40,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
40,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
40,4,1,0.5235987755982988,0,0.0,1469,7.3289045074980695e-06,1.0,4.064268895497193
40,5,0,0.0,0,0.0,1424,7.104397562067564e-06,1.0,4.587867895602438
40,6,0,0.0,0,0.0,1100,5.487947554967921e-06,1.0,4.587869512052444
40,7,0,0.0,0,0.0,1007,5.0239665344115424e-06,1.0,4.587869976033465
50,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
50,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
50,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
50,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
50,4,1,0.5235987755982988,0,0.0,1467,7.3189264210344916e-06,1.0,4.06426890547528
50,5,0,0.0,0,0.0,1417,7.069474259445041e-06,1.0,4.58786793052574
50,6,0,0.0,0,0.0,1102,5.497925641431499e-06,1.0,4.587869502074358
50,7,0,0.0,0,0.0,1014,5.058889837034066e-06,1.0,4.587869941110163
60,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
60,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
60,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
60,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
60,4,1,0.5235987755982988,0,0.0,1463,7.2989702481073356e-06,1.0,4.064268925431453
60,5,0,0.0,0,0.0,1415,7.059496172981463e-06,1.0,4.587867940503826
60,6,0,0.0,0,0.0,1106,5.517881814358655e-06,1.0,4.587869482118185
60,7,0,0.0,0,0.0,1016,5.068867923497644e-06,1.0,4.587869931132076
70,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
70,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
70,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
70,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
70,4,1,0.5235987755982988,0,0.0,1460,7.284003118411969e-06,1.0,4.064268940398582
70,5,0,0.0,0,0.0,1412,7.044529043286096e-06,1.0,4.587867955470956
70,6,0,0.0,0,0.0,1109,5.532848944054023e-06,1.0,4.587869467151055
70,7,0,0.0,0,0.0,1019,5.083835053193011e-06,1.0,4.587869916164946
80,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
80,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
80,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
80,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
80,4,1,0.5235987755982988,0,0.0,1452,7.244090772557657e-06,1.0,4.064268980310928
80,5,0,0.0,0,0.0,1415,7.059496172981463e-06,1.0,4.587867940503826
80,6,0,0.0,0,0.0,1106,5.517881814358655e-06,1.0,4.587869482118185
80,7,0,0.0,0,0.0,1027,5.123747399047323e-06,1.0,4.587869876252601
90,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
90,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
90,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
90,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
90,4,1,0.5235987755982988,0,0.0,1445,7.209167469935134e-06,1.0,4.064269015234231
