Timestep,Sector,Num CellSmutans,OccupiedSpace CellSmutans,Num CellSmitis,OccupiedSpace CellSmitis,Num Macromoleculeahl,OccupiedSpace Macromoleculeahl,Diffusion Rate Macromoleculeahl,EmptySpace Sector
3890,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
14640,4,1,0.5235987755982988,0,0.0,2,9.97808646357804e-09,1.0,4.064276214423614
5180,4,1,0.5235987755982988,0,0.0,36,1.796055563444047e-07,1.0,4.064276044796144
3610,6,0,0.0,0,0.0,77,3.841563288477545e-07,1.0,4.5878746158436705
3710,5,0,0.0,0,0.0,81,4.041125017749106e-07,1.0,4.587874595887498
1180,6,0,0.0,0,0.0,337,1.6813075691128997e-06,1.0,4.587873318692431
1030,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
16630,7,0,0.0,0,0.0,3,1.4967129695367058e-08,1.0,4.58787498503287
340,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
18150,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
14240,6,0,0.0,0,0.0,2,9.97808646357804e-09,1.0,4.587874990021913
20160,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
1310,5,0,0.0,0,0.0,387,1.9307597307023504e-06,1.0,4.587873069240269
19710,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
6000,0,0,0.0,1,2.1446605848506324,5,2.49452161589451e-08,1.0,2.443214390204151
11100,6,0,0.0,0,0.0,6,2.9934259390734117e-08,1.0,4.58787497006574
14520,5,0,0.0,0,0.0,4,1.995617292715608e-08,1.0,4.587874980043827
6550,5,0,0.0,0,0.0,24,1.1973703756293647e-07,1.0,4.587874880262962
7080,7,0,0.0,0,0.0,24,1.1973703756293647e-07,1.0,4.587874880262962
6870,0,0,0.0,1,2.1446605848506324,5,2.49452161589451e-08,1.0,2.443214390204151
23220,4,1,0.5235987755982988,0,0.0,0,0.0,1.0,4.0642762244017
9150,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
17120,6,0,0.0,0,0.0,2,9.97808646357804e-09,1.0,4.587874990021913
13320,6,0,0.0,0,0.0,3,1.4967129695367058e-08,1.0,4.58787498503287
4200,6,0,0.0,0,0.0,54,2.6940833451660706e-07,1.0,4.587874730591665
3500,7,0,0.0,0,0.0,108,5.388166690332141e-07,1.0,4.587874461183331
7630,4,1,0.5235987755982988,0,0.0,13,6.485756201325725e-08,1.0,4.064276159544138
24080,4,1,0.5235987755982988,0,0.0,0,0.0,1.0,4.0642762244017
22830,5,0,0.0,0,0.0,1,4.98904323178902e-09,1.0,4.5878749950109565
15590,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
380,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
8590,7,0,0.0,0,0.0,14,6.984660524504627e-08,1.0,4.5878749301533945
17490,7,0,0.0,0,0.0,3,1.4967129695367058e-08,1.0,4.58787498503287
14180,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
12810,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
8800,7,0,0.0,0,0.0,9,4.490138908610118e-08,1.0,4.58787495509861
5510,2,0,0.0,0,0.0,2,9.97808646357804e-09,1.0,4.587874990021913
23390,4,1,0.5235987755982988,0,0.0,0,0.0,1.0,4.0642762244017
17650,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
11640,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
17810,4,1,0.5235987755982988,0,0.0,0,0.0,1.0,4.0642762244017
19090,6,0,0.0,0,0.0,1,4.98904323178902e-09,1.0,4.5878749950109565
19620,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
3790,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
15220,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
630,7,0,0.0,0,0.0,672,3.3526370517622214e-06,1.0,4.587871647362948
14480,7,0,0.0,0,0.0,4,1.995617292715608e-08,1.0,4.587874980043827
18890,5,0,0.0,0,0.0,1,4.98904323178902e-09,1.0,4.5878749950109565
18280,5,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
7400,7,0,0.0,0,0.0,21,1.0476990786756942e-07,1.0,4.587874895230091
