Timestep,Sector,Num CellSmutans,OccupiedSpace CellSmutans,Target CellSmutans,Num CellSmitis,OccupiedSpace CellSmitis,Target CellSmitis,Num Macromoleculeahl,OccupiedSpace Macromoleculeahl,Diffusion Rate Macromoleculeahl,Target Macromoleculeahl,EmptySpace Sector
0,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
0,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
0,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
0,3,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
0,4,1,0.5235987755982988,1,0,0.0,0,1584,7.902644479153807e-06,1.0,1225,4.064268321757222
0,5,0,0.0,0,0,0.0,0,1379,6.879890616637058e-06,1.0,1362,4.587868120109383
0,6,0,0.0,0,0,0.0,0,1107,5.522870857590445e-06,1.0,1029,4.587869477129142
0,7,0,0.0,0,0,0.0,0,930,4.639810205563788e-06,1.0,943,4.587870360189794
10,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
10,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
10,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
10,3,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
10,4,1,0.5235987755982988,1,0,0.0,0,1225,6.111577958941549e-06,1.0,1147,4.064270112823742
10,5,0,0.0,0,0,0.0,0,1362,6.795076881696645e-06,1.0,1349,4.587868204923118
10,6,0,0.0,0,0,0.0,0,1029,5.133725485510901e-06,1.0,984,4.587869866274514
10,7,0,0.0,0,0,0.0,0,943,4.704667767577046e-06,1.0,948,4.587870295332232
20,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
20,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
20,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
20,3,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
20,4,1,0.5235987755982988,1,0,0.0,0,1147,5.722432586862006e-06,1.0,1080,4.064270501969114
20,5,0,0.0,0,0,0.0,0,1349,6.730219319683388e-06,1.0,1333,4.58786826978068
20,6,0,0.0,0,0,0.0,0,984,4.9092185400803956e-06,1.0,949,4.587870090781459
20,7,0,0.0,0,0,0.0,0,948,4.729612983735991e-06,1.0,951,4.587870270387016
30,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
30,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
30,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
30,3,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
30,4,1,0.5235987755982988,1,0,0.0,0,1080,5.3881666903321415e-06,1.0,1015,4.064270836235011
30,5,0,0.0,0,0,0.0,0,1333,6.650394627974763e-06,1.0,1319,4.587868349605372
30,6,0,0.0,0,0,0.0,0,949,4.73460202696778e-06,1.0,920,4.587870265397973
30,7,0,0.0,0,0,0.0,0,951,4.744580113431358e-06,1.0,953,4.587870255419886
40,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
40,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
40,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
40,3,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
40,4,1,0.5235987755982988,1,0,0.0,0,1015,5.063878880265855e-06,1.0,940,4.064271160522821
40,5,0,0.0,0,0,0.0,0,1319,6.580548022729717e-06,1.0,1306,4.5878684194519765
40,6,0,0.0,0,0,0.0,0,920,4.589919773245898e-06,1.0,888,4.587870410080226
40,7,0,0.0,0,0,0.0,0,953,4.754558199894936e-06,1.0,956,4.5878702454418
50,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
50,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
50,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
50,3,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
50,4,1,0.5235987755982988,1,0,0.0,0,940,4.689700637881678e-06,1.0,880,4.064271534701063
50,5,0,0.0,0,0,0.0,0,1306,6.51569046071646e-06,1.0,1302,4.5878684843095385
50,6,0,0.0,0,0,0.0,0,888,4.43027038982865e-06,1.0,853,4.58787056972961
50,7,0,0.0,0,0,0.0,0,956,4.769525329590303e-06,1.0,966,4.58787023047467
60,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
60,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
60,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
60,3,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
60,4,1,0.5235987755982988,1,0,0.0,0,880,4.390358043974338e-06,1.0,842,4.064271834043657
60,5,0,0.0,0,0,0.0,0,1302,6.495734287789303e-06,1.0,1288,4.587868504265712
60,6,0,0.0,0,0,0.0,0,853,4.255653876716034e-06,1.0,832,4.587870744346123
