Timestep,Sector,Num CellSmutans,OccupiedSpace CellSmutans,Target CellSmutans,Num CellSmitis,OccupiedSpace CellSmitis,Target CellSmitis,Num Macromoleculeahl,OccupiedSpace Macromoleculeahl,Diffusion Rate Macromoleculeahl,Target Macromoleculeahl,EmptySpace Sector
0,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
0,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
0,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
0,3,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
0,4,1,0.5235987755982988,1,0,0.0,0,1580,7.882688306226651e-06,1.0,1239,4.064268341713395
0,5,0,0.0,0,0,0.0,0,1421,7.089430432372197e-06,1.0,1414,4.587867910569567
0,6,0,0.0,0,0,0.0,0,1081,5.3931557335639305e-06,1.0,1009,4.587869606844266
0,7,0,0.0,0,0,0.0,0,918,4.57994168678232e-06,1.0,927,4.587870420058313
10,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
10,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
10,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
10,3,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
10,4,1,0.5235987755982988,1,0,0.0,0,1239,6.181424564186596e-06,1.0,1155,4.064270042977136
10,5,0,0.0,0,0,0.0,0,1414,7.054507129749674e-06,1.0,1396,4.58786794549287
10,6,0,0.0,0,0,0.0,0,1009,5.033944620875121e-06,1.0,979,4.587869966055378
10,7,0,0.0,0,0,0.0,0,927,4.624843075868421e-06,1.0,932,4.587870375156924
20,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
20,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
20,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
20,3,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
20,4,1,0.5235987755982988,1,0,0.0,0,1155,5.762344932716318e-06,1.0,1071,4.064270462056768
20,5,0,0.0,0,0,0.0,0,1396,6.964704351577471e-06,1.0,1383,4.587868035295648
20,6,0,0.0,0,0,0.0,0,979,4.884273323921451e-06,1.0,944,4.587870115726676
20,7,0,0.0,0,0,0.0,0,932,4.649788292027366e-06,1.0,933,4.587870350211707
30,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
30,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
30,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
30,3,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
30,4,1,0.5235987755982988,1,0,0.0,0,1071,5.34326530124604e-06,1.0,1006,4.0642708811364
30,5,0,0.0,0,0,0.0,0,1383,6.899846789564214e-06,1.0,1364,4.58786810015321
30,6,0,0.0,0,0,0.0,0,944,4.709656810808835e-06,1.0,922,4.587870290343188
30,7,0,0.0,0,0,0.0,0,933,4.654777335259155e-06,1.0,939,4.587870345222664
40,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
40,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
40,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
40,3,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
40,4,1,0.5235987755982988,1,0,0.0,0,1006,5.0189774911797534e-06,1.0,954,4.06427120542421
40,5,0,0.0,0,0,0.0,0,1364,6.805054968160223e-06,1.0,1355,4.587868194945031
40,6,0,0.0,0,0,0.0,0,922,4.599897859709476e-06,1.0,887,4.5878704001021395
40,7,0,0.0,0,0,0.0,0,939,4.684711594649889e-06,1.0,941,4.587870315288405
50,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
50,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
50,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
50,3,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
50,4,1,0.5235987755982988,1,0,0.0,0,954,4.759547243126725e-06,1.0,894,4.064271464854458
50,5,0,0.0,0,0,0.0,0,1355,6.760153579074122e-06,1.0,1343,4.58786823984642
50,6,0,0.0,0,0,0.0,0,887,4.425281346596861e-06,1.0,857,4.587870574718653
50,7,0,0.0,0,0,0.0,0,941,4.694689681113467e-06,1.0,954,4.587870305310318
60,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
60,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
60,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
60,3,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
60,4,1,0.5235987755982988,1,0,0.0,0,894,4.4602046492193836e-06,1.0,850,4.064271764197051
60,5,0,0.0,0,0,0.0,0,1343,6.700285060292654e-06,1.0,1324,4.587868299714939
60,6,0,0.0,0,0,0.0,0,857,4.27561004964319e-06,1.0,839,4.5878707243899495
