Timestep,Sector,Num CellSmutans,OccupiedSpace CellSmutans,Target CellSmutans,Num CellSmitis,OccupiedSpace CellSmitis,Target CellSmitis,Num Macromoleculeahl,OccupiedSpace Macromoleculeahl,Diffusion Rate Macromoleculeahl,Target Macromoleculeahl,EmptySpace Sector
0,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
0,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
0,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
0,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
0,4,1,0.0,1,1,0.0,1,3066,1.5296406548665135e-05,1.0,1517,4.587859703593451
0,5,0,0.0,0,0,0.0,0,975,4.864317150994295e-06,1.0,1283,4.587870135682849
0,6,0,0.0,0,0,0.0,0,770,3.841563288477545e-06,1.0,807,4.587871158436711
0,7,0,0.0,0,0,0.0,0,3,1.4967129695367058e-08,1.0,181,4.58787498503287
150,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
150,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
150,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
150,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
150,4,1,0.0,1,1,0.0,1,1517,7.568378582623943e-06,1.0,862,4.587867431621417
150,5,0,0.0,0,0,0.0,0,1283,6.400942466385312e-06,1.0,1279,4.587868599057533
150,6,0,0.0,0,0,0.0,0,807,4.0261578880537385e-06,1.0,686,4.587870973842112
150,7,0,0.0,0,0,0.0,0,181,9.030168249538126e-07,1.0,346,4.587874096983175
300,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
300,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
300,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
300,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
300,4,1,0.0,1,1,0.0,1,862,4.300555265802135e-06,1.0,535,4.587870699444734
300,5,0,0.0,0,0,0.0,0,1279,6.3809862934581564e-06,1.0,1207,4.587868619013706
300,6,0,0.0,0,0,0.0,0,686,3.422483657007268e-06,1.0,584,4.587871577516342
300,7,0,0.0,0,0,0.0,0,346,1.7262089581990008e-06,1.0,470,4.5878732737910415
450,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
450,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
450,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
450,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
450,4,1,0.0,1,1,0.0,1,535,2.6691381290071254e-06,1.0,379,4.58787233086187
450,5,0,0.0,0,0,0.0,0,1207,6.021775180769347e-06,1.0,1135,4.587868978224819
450,6,0,0.0,0,0,0.0,0,584,2.9136012473647878e-06,1.0,469,4.587872086398752
450,7,0,0.0,0,0,0.0,0,470,2.344850318940839e-06,1.0,540,4.58787265514968
600,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
600,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
600,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
600,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
