Timestep,Sector,Num CellSmutans,OccupiedSpace CellSmutans,Target CellSmutans,Num CellSmitis,OccupiedSpace CellSmitis,Target CellSmitis,Num Macromoleculeahl,OccupiedSpace Macromoleculeahl,Diffusion Rate Macromoleculeahl,Target Macromoleculeahl,EmptySpace Sector
0,0,1,0.0,1,1,0.0,1,3429,1.710742924180455e-05,1.0,2541,4.587857892570757
0,1,0,0.0,0,0,0.0,0,1220,6.086632742782604e-06,1.0,1334,4.587868913367257
0,2,0,0.0,0,0,0.0,0,338,1.6862966123446887e-06,1.0,478,4.587873313703387
0,3,0,0.0,0,0,0.0,0,0,0.0,1.0,3,4.5878749999999995
0,4,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
0,5,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
0,6,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
0,7,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
50,0,1,0.0,1,1,0.0,1,2541,1.2677158851975899e-05,1.0,1748,4.587862322841148
50,1,0,0.0,0,0,0.0,0,1334,6.655383671206552e-06,1.0,1450,4.587868344616329
50,2,0,0.0,0,0,0.0,0,478,2.3847626647951514e-06,1.0,551,4.587872615237335
50,3,0,0.0,0,0,0.0,0,3,1.4967129695367058e-08,1.0,38,4.58787498503287
50,4,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
50,5,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
50,6,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
50,7,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
100,0,1,0.0,1,1,0.0,1,1748,8.720847569167206e-06,1.0,1221,4.58786627915243
100,1,0,0.0,0,0,0.0,0,1450,7.234112686094079e-06,1.0,1461,4.587867765887314
100,2,0,0.0,0,0,0.0,0,551,2.7489628207157497e-06,1.0,598,4.5878722510371786
100,3,0,0.0,0,0,0.0,0,38,1.8958364280798275e-07,1.0,97,4.5878748104163565
100,4,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
100,5,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
100,6,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
100,7,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
150,0,1,0.0,1,1,0.0,1,1221,6.091621786014393e-06,1.0,888,4.587868908378214
150,1,0,0.0,0,0,0.0,0,1461,7.288992161643758e-06,1.0,1424,4.587867711007838
150,2,0,0.0,0,0,0.0,0,598,2.9834478526098337e-06,1.0,594,4.587872016552147
150,3,0,0.0,0,0,0.0,0,97,4.839371934835349e-07,1.0,150,4.587874516062806
150,4,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
150,5,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
150,6,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
150,7,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
200,0,1,0.0,1,1,0.0,1,888,4.43027038982865e-06,1.0,684,4.58787056972961
200,1,0,0.0,0,0,0.0,0,1424,7.104397562067564e-06,1.0,1378,4.587867895602438
200,2,0,0.0,0,0,0.0,0,594,2.9634916796826777e-06,1.0,568,4.58787203650832
200,3,0,0.0,0,0,0.0,0,150,7.483564847683529e-07,1.0,198,4.587874251643515
200,4,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
200,5,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
200,6,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
200,7,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
250,0,1,0.0,1,1,0.0,1,684,3.4125055705436893e-06,1.0,558,4.587871587494429
250,1,0,0.0,0,0,0.0,0,1378,6.874901573405269e-06,1.0,1341,4.587868125098426
250,2,0,0.0,0,0,0.0,0,568,2.833776555656163e-06,1.0,529,4.587872166223444
250,3,0,0.0,0,0,0.0,0,198,9.87830559894226e-07,1.0,235,4.58787401216944
250,4,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
250,5,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
250,6,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
250,7,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
300,0,1,0.0,1,1,0.0,1,558,2.783886123338273e-06,1.0,452,4.587872216113876
300,1,0,0.0,0,0,0.0,0,1341,6.690306973829076e-06,1.0,1301,4.587868309693025
300,2,0,0.0,0,0,0.0,0,529,2.6392038696163914e-06,1.0,504,4.58787236079613
300,3,0,0.0,0,0,0.0,0,235,1.1724251594704195e-06,1.0,250,4.58787382757484
300,4,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
300,5,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
300,6,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
300,7,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
350,0,1,0.0,1,1,0.0,1,452,2.2550475407686367e-06,1.0,402,4.587872744952459
