Prev_Sector,Sector,Moved_Cells,Timestep
0.0,0,1532,10
0.0,2,1,10
0.0,3,4,10
1.0,1,1625,10
1.0,2,3,10
1.0,3,3,10
2.0,2,973,10
3.0,3,859,10
0.0,0,1529,20
0.0,3,3,20
1.0,1,1620,20
1.0,2,2,20
1.0,3,3,20
2.0,2,977,20
3.0,3,866,20
0.0,0,1526,30
0.0,2,1,30
0.0,3,2,30
1.0,1,1613,30
1.0,2,2,30
1.0,3,5,30
2.0,2,979,30
3.0,3,872,30
0.0,0,1519,40
0.0,2,4,40
0.0,3,3,40
1.0,1,1608,40
1.0,2,3,40
1.0,3,2,40
2.0,0,1,40
2.0,1,3,40
2.0,2,978,40
3.0,0,3,40
3.0,3,876,40
0.0,0,1514,50
0.0,1,1,50
0.0,2,6,50
0.0,3,2,50
1.0,0,1,50
1.0,1,1602,50
1.0,2,2,50
1.0,3,6,50
2.0,0,3,50
2.0,1,1,50
2.0,2,981,50
3.0,0,1,50
3.0,3,880,50
0.0,0,1514,60
0.0,2,2,60
0.0,3,3,60
1.0,1,1597,60
1.0,2,3,60
1.0,3,4,60
2.0,0,3,60
2.0,1,5,60
2.0,2,981,60
3.0,0,2,60
3.0,1,4,60
3.0,3,882,60
0.0,0,1514,70
0.0,2,1,70
0.0,3,5,70
1.0,1,1601,70
1.0,2,1,70
1.0,3,4,70
2.0,0,2,70
2.0,1,1,70
2.0,2,986,70
3.0,0,5,70
3.0,1,2,70
3.0,3,882,70
0.0,0,1518,80
0.0,2,3,80
0.0,3,3,80
1.0,0,1,80
1.0,1,1595,80
1.0,2,5,80
1.0,3,6,80
2.0,0,4,80
2.0,1,2,80
2.0,2,980,80
3.0,1,3,80
3.0,3,888,80
0.0,0,1518,90
0.0,2,2,90
0.0,3,1,90
1.0,0,1,90
1.0,1,1589,90
1.0,2,3,90
1.0,3,5,90
2.0,0,3,90
2.0,1,3,90
2.0,2,982,90
3.0,0,1,90
3.0,1,3,90
3.0,3,893,90
0.0,0,1519,100
0.0,3,3,100
1.0,1,1594,100
1.0,2,1,100
1.0,3,1,100
2.0,0,2,100
2.0,2,984,100
3.0,1,2,100
3.0,3,899,100
0.0,0,1519,110
0.0,2,2,110
1.0,1,1590,110
1.0,2,1,110
1.0,3,5,110
2.0,1,3,110
2.0,2,983,110
3.0,1,5,110
3.0,3,896,110
0.0,0,1512,120
0.0,2,3,120
0.0,3,6,120
1.0,1,1591,120
1.0,2,2,120
1.0,3,5,120
2.0,0,1,120
2.0,1,1,120
2.0,2,984,120
3.0,1,3,120
3.0,3,898,120
0.0,0,1513,130
0.0,2,2,130
0.0,3,3,130
1.0,1,1593,130
1.0,2,3,130
1.0,3,3,130
2.0,0,1,130
2.0,1,2,130
2.0,2,986,130
3.0,0,4,130
3.0,1,3,130
3.0,3,904,130
0.0,0,1506,140
0.0,2,4,140
0.0,3,1,140
1.0,1,1587,140
1.0,2,2,140
1.0,3,4,140
2.0,0,3,140
2.0,1,2,140
2.0,2,987,140
3.0,3,909,140
0.0,0,1505,150
0.0,2,4,150
0.0,3,1,150
1.0,1,1587,150
1.0,2,1,150
1.0,3,1,150
2.0,0,2,150
2.0,1,3,150
2.0,2,987,150
3.0,0,4,150
3.0,1,1,150
3.0,3,909,150
0.0,0,1504,160
0.0,2,3,160
0.0,3,3,160
1.0,1,1584,160
1.0,2,4,160
1.0,3,4,160
2.0,0,1,160
2.0,1,1,160
2.0,2,990,160
3.0,0,2,160
3.0,3,910,160
0.0,0,1503,170
0.0,2,1,170
0.0,3,3,170
1.0,1,1581,170
1.0,2,1,170
1.0,3,3,170
2.0,0,4,170
2.0,1,4,170
2.0,2,988,170
3.0,0,1,170
3.0,1,1,170
3.0,3,914,170
0.0,0,1499,180
0.0,2,4,180
0.0,3,4,180
1.0,1,1575,180
1.0,2,7,180
1.0,3,2,180
2.0,0,5,180
2.0,2,987,180
3.0,0,2,180
3.0,1,1,180
3.0,3,916,180
0.0,0,1501,190
0.0,2,2,190
0.0,3,4,190
1.0,1,1571,190
1.0,2,4,190
1.0,3,1,190
2.0,1,2,190
2.0,2,995,190
3.0,0,1,190
3.0,1,2,190
3.0,3,921,190
0.0,0,1495,200
0.0,2,1,200
0.0,3,6,200
1.0,1,1574,200
1.0,2,2,200
2.0,0,2,200
2.0,2,998,200
3.0,0,1,200
3.0,3,925,200
0.0,0,1494,210
0.0,2,2,210
0.0,3,1,210
1.0,1,1575,210
2.0,1,4,210
2.0,2,998,210
3.0,0,2,210
3.0,1,1,210
3.0,3,926,210
0.0,0,1495,220
0.0,2,1,220
0.0,3,2,220
1.0,1,1570,220
1.0,2,4,220
1.0,3,5,220
2.0,1,6,220
2.0,2,996,220
3.0,0,4,220
3.0,1,3,220
3.0,3,920,220
0.0,0,1498,230
0.0,3,1,230
1.0,1,1570,230
1.0,2,3,230
1.0,3,5,230
2.0,0,1,230
2.0,2,999,230
3.0,0,2,230
3.0,1,1,230
3.0,3,925,230
0.0,0,1495,240
0.0,2,1,240
0.0,3,3,240
1.0,0,2,240
1.0,1,1561,240
1.0,2,3,240
1.0,3,5,240
2.0,2,1000,240
3.0,0,4,240
3.0,1,2,240
3.0,3,925,240
0.0,0,1501,250
0.0,2,2,250
0.0,3,1,250
1.0,1,1562,250
1.0,2,2,250
1.0,3,2,250
2.0,0,2,250
2.0,1,2,250
2.0,2,1000,250
3.0,0,2,250
3.0,1,2,250
3.0,3,928,250
0.0,0,1500,260
0.0,3,3,260
1.0,1,1560,260
1.0,2,3,260
1.0,3,1,260
2.0,0,2,260
2.0,1,2,260
2.0,2,1000,260
3.0,0,1,260
3.0,3,930,260
0.0,0,1501,270
0.0,3,2,270
1.0,1,1558,270
1.0,2,2,270
1.0,3,1,270
2.0,1,5,270
2.0,2,999,270
3.0,0,3,270
3.0,1,1,270
3.0,3,931,270
0.0,0,1503,280
1.0,1,1572,280
1.0,2,2,280
1.0,3,2,280
2.0,1,2,280
2.0,2,1000,280
3.0,1,1,280
3.0,3,934,280
0.0,0,1501,290
0.0,2,2,290
0.0,3,1,290
1.0,1,1570,290
1.0,2,2,290
2.0,0,5,290
2.0,2,996,290
3.0,0,1,290
3.0,1,2,290
3.0,3,931,290
0.0,0,1500,300
0.0,2,4,300
0.0,3,4,300
1.0,0,1,300
1.0,1,1567,300
1.0,2,1,300
1.0,3,3,300
2.0,0,2,300
2.0,1,4,300
2.0,2,994,300
3.0,0,1,300
3.0,1,1,300
3.0,3,931,300
0.0,0,1502,310
0.0,3,1,310
1.0,0,1,310
1.0,1,1562,310
1.0,2,3,310
1.0,3,3,310
2.0,0,1,310
2.0,1,1,310
2.0,2,999,310
3.0,3,937,310
0.0,0,1501,320
0.0,2,2,320
0.0,3,2,320
1.0,1,1555,320
1.0,2,3,320
1.0,3,2,320
2.0,1,3,320
2.0,2,996,320
3.0,0,3,320
3.0,1,1,320
3.0,3,938,320
0.0,0,1499,330
0.0,2,1,330
0.0,3,3,330
1.0,1,1556,330
1.0,2,2,330
1.0,3,1,330
2.0,1,2,330
2.0,2,1000,330
3.0,0,1,330
3.0,1,3,330
3.0,3,937,330
0.0,0,1492,340
0.0,2,5,340
0.0,3,3,340
1.0,1,1556,340
1.0,2,2,340
1.0,3,2,340
2.0,0,2,340
2.0,1,2,340
2.0,2,998,340
3.0,1,1,340
3.0,3,940,340
0.0,0,1489,350
0.0,2,2,350
0.0,3,4,350
1.0,1,1562,350
2.0,0,1,350
2.0,1,6,350
2.0,2,998,350
3.0,0,1,350
3.0,3,944,350
0.0,0,1489,360
1.0,1,1563,360
1.0,2,2,360
1.0,3,1,360
2.0,0,1,360
2.0,1,3,360
2.0,2,999,360
3.0,0,1,360
3.0,3,947,360
0.0,0,1489,370
0.0,1,1,370
0.0,3,2,370
1.0,1,1565,370
1.0,2,3,370
1.0,3,1,370
2.0,0,2,370
2.0,2,996,370
3.0,0,5,370
3.0,1,4,370
3.0,3,939,370
0.0,0,1502,380
0.0,3,2,380
1.0,1,1563,380
1.0,3,2,380
2.0,0,1,380
2.0,2,1002,380
3.0,3,944,380
0.0,0,1493,390
0.0,2,3,390
0.0,3,1,390
1.0,1,1566,390
1.0,2,1,390
1.0,3,1,390
2.0,0,2,390
2.0,2,997,390
3.0,0,1,390
3.0,3,947,390
0.0,0,1497,400
0.0,3,1,400
1.0,1,1558,400
1.0,2,1,400
1.0,3,5,400
2.0,1,2,400
2.0,2,999,400
3.0,0,1,400
3.0,1,2,400
3.0,3,944,400
0.0,0,1492,410
0.0,2,1,410
0.0,3,3,410
1.0,0,1,410
1.0,1,1555,410
1.0,2,2,410
1.0,3,1,410
2.0,0,3,410
2.0,1,1,410
2.0,2,996,410
3.0,0,2,410
3.0,1,1,410
3.0,3,948,410
0.0,0,1490,420
0.0,2,2,420
0.0,3,3,420
1.0,1,1559,420
1.0,3,1,420
2.0,2,1000,420
3.0,1,2,420
3.0,3,950,420
0.0,0,1488,430
0.0,2,2,430
0.0,3,2,430
1.0,1,1559,430
1.0,2,2,430
1.0,3,1,430
2.0,0,1,430
2.0,1,1,430
2.0,2,1001,430
3.0,0,2,430
3.0,1,1,430
3.0,3,951,430
0.0,0,1485,440
0.0,2,4,440
0.0,3,1,440
1.0,1,1555,440
1.0,2,3,440
1.0,3,1,440
2.0,0,1,440
2.0,1,2,440
2.0,2,1003,440
3.0,1,5,440
3.0,3,949,440
0.0,0,1486,450
0.0,3,1,450
1.0,1,1557,450
1.0,2,1,450
1.0,3,1,450
2.0,0,1,450
2.0,1,1,450
2.0,2,1006,450
3.0,0,2,450
3.0,1,1,450
3.0,3,949,450
0.0,0,1488,460
0.0,2,1,460
0.0,3,2,460
1.0,1,1556,460
1.0,2,2,460
1.0,3,2,460
2.0,0,1,460
2.0,1,2,460
2.0,2,1003,460
3.0,0,1,460
3.0,1,1,460
3.0,3,950,460
0.0,0,1485,470
0.0,2,3,470
0.0,3,2,470
1.0,1,1553,470
1.0,2,5,470
1.0,3,1,470
2.0,0,5,470
2.0,2,1001,470
3.0,3,952,470
0.0,0,1482,480
0.0,3,4,480
1.0,1,1550,480
1.0,2,1,480
1.0,3,1,480
2.0,0,2,480
2.0,2,1006,480
3.0,1,4,480
3.0,3,956,480
0.0,0,1484,490
0.0,2,4,490
1.0,1,1557,490
1.0,3,1,490
2.0,0,1,490
2.0,1,3,490
2.0,2,1007,490
3.0,0,3,490
3.0,3,953,490
0.0,0,1478,500
0.0,2,4,500
0.0,3,2,500
1.0,1,1555,500
1.0,3,1,500
2.0,0,2,500
2.0,1,3,500
2.0,2,1004,500
3.0,0,3,500
3.0,1,1,500
3.0,3,950,500
0.0,0,1482,510
0.0,2,2,510
0.0,3,1,510
1.0,1,1560,510
2.0,0,1,510
2.0,1,1,510
2.0,2,1005,510
3.0,0,3,510
3.0,1,1,510
3.0,3,950,510
0.0,0,1482,520
0.0,3,2,520
1.0,1,1558,520
1.0,2,2,520
1.0,3,1,520
2.0,0,2,520
2.0,1,1,520
2.0,2,1003,520
3.0,1,1,520
3.0,3,949,520
0.0,0,1480,530
0.0,2,2,530
0.0,3,2,530
1.0,1,1558,530
1.0,2,1,530
1.0,3,1,530
2.0,0,1,530
2.0,2,1006,530
3.0,0,1,530
3.0,1,1,530
3.0,3,952,530
0.0,0,1482,540
0.0,2,2,540
0.0,3,2,540
1.0,1,1559,540
1.0,3,1,540
2.0,0,3,540
2.0,2,1006,540
3.0,0,1,540
3.0,3,954,540
0.0,0,1482,550
0.0,2,2,550
1.0,1,1562,550
1.0,2,1,550
2.0,0,3,550
2.0,1,1,550
2.0,2,1002,550
3.0,1,1,550
3.0,3,953,550
0.0,0,1478,560
0.0,2,1,560
0.0,3,4,560
1.0,0,1,560
1.0,1,1554,560
1.0,3,4,560
2.0,0,2,560
2.0,1,1,560
2.0,2,1002,560
3.0,0,3,560
3.0,3,950,560
0.0,0,1486,570
0.0,2,2,570
1.0,1,1555,570
1.0,3,1,570
2.0,0,3,570
2.0,2,1001,570
3.0,3,959,570
0.0,0,1481,580
0.0,2,3,580
0.0,3,1,580
1.0,1,1554,580
1.0,2,1,580
2.0,1,1,580
2.0,2,1001,580
3.0,1,1,580
3.0,3,958,580
0.0,0,1474,590
0.0,2,2,590
0.0,3,5,590
1.0,0,1,590
1.0,1,1552,590
1.0,2,2,590
2.0,0,1,590
