Timestep,alive_sector 0,alive_sector 1,alive_sector 2,alive_sector 3,dead_sector 0,dead_sector 1,dead_sector 2,dead_sector 3
0,1537.0,1631.0,973.0,859.0,0.0,0.0,0.0,0.0
10,1532.0,1625.0,977.0,866.0,0.0,0.0,0.0,0.0
20,1529.0,1620.0,979.0,872.0,0.0,0.0,0.0,0.0
30,1526.0,1613.0,982.0,879.0,0.0,0.0,0.0,0.0
40,1523.0,1611.0,985.0,881.0,0.0,0.0,0.0,0.0
50,1519.0,1604.0,989.0,888.0,0.0,0.0,0.0,0.0
60,1519.0,1606.0,986.0,889.0,0.0,0.0,0.0,0.0
70,1518.0,1601.0,983.0,887.0,3.0,3.0,5.0,4.0
80,1507.0,1587.0,970.0,885.0,16.0,13.0,18.0,12.0
90,1496.0,1566.0,958.0,875.0,27.0,29.0,29.0,24.0
100,1474.0,1543.0,944.0,869.0,47.0,53.0,41.0,34.0
110,1454.0,1521.0,932.0,851.0,65.0,77.0,54.0,50.0
120,1431.0,1499.0,926.0,853.0,82.0,96.0,63.0,56.0
130,1413.0,1483.0,910.0,842.0,105.0,115.0,81.0,68.0
140,1382.0,1456.0,892.0,835.0,127.0,133.0,101.0,79.0
150,1369.0,1441.0,878.0,823.0,142.0,150.0,114.0,88.0
160,1342.0,1412.0,865.0,817.0,165.0,173.0,132.0,100.0
170,1335.0,1393.0,850.0,816.0,173.0,193.0,140.0,104.0
180,1324.0,1375.0,848.0,809.0,182.0,201.0,150.0,113.0
190,1302.0,1363.0,842.0,803.0,200.0,212.0,159.0,123.0
200,1288.0,1350.0,835.0,795.0,210.0,224.0,166.0,136.0
210,1276.0,1342.0,823.0,789.0,220.0,238.0,177.0,138.0
220,1272.0,1330.0,808.0,778.0,227.0,249.0,193.0,149.0
230,1262.0,1310.0,798.0,779.0,239.0,261.0,204.0,152.0
240,1257.0,1290.0,790.0,771.0,244.0,273.0,214.0,162.0
250,1249.0,1278.0,783.0,758.0,256.0,288.0,221.0,173.0
260,1236.0,1261.0,773.0,754.0,267.0,301.0,230.0,180.0
270,1226.0,1254.0,764.0,748.0,278.0,310.0,237.0,186.0
280,1217.0,1237.0,761.0,742.0,286.0,338.0,241.0,194.0
290,1210.0,1119.0,738.0,731.0,297.0,453.0,262.0,201.0
300,1203.0,1067.0,722.0,727.0,301.0,505.0,277.0,211.0
310,1196.0,1015.0,708.0,728.0,308.0,548.0,294.0,213.0
320,1188.0,974.0,685.0,723.0,316.0,585.0,316.0,219.0
330,1175.0,943.0,672.0,721.0,325.0,618.0,331.0,220.0
340,1165.0,912.0,661.0,720.0,329.0,647.0,344.0,225.0
350,1156.0,887.0,642.0,721.0,335.0,681.0,358.0,227.0
360,1153.0,856.0,626.0,717.0,338.0,710.0,375.0,231.0
370,1152.0,831.0,612.0,705.0,344.0,739.0,387.0,237.0
380,1062.0,800.0,591.0,701.0,441.0,763.0,411.0,247.0
390,1002.0,776.0,579.0,684.0,494.0,790.0,422.0,265.0
400,949.0,741.0,571.0,666.0,549.0,821.0,429.0,284.0
410,910.0,707.0,556.0,653.0,588.0,850.0,443.0,299.0
420,866.0,687.0,541.0,641.0,624.0,874.0,461.0,313.0
430,835.0,663.0,529.0,632.0,656.0,898.0,476.0,322.0
440,806.0,643.0,522.0,620.0,680.0,919.0,488.0,331.0
450,789.0,625.0,510.0,606.0,700.0,934.0,497.0,345.0
460,766.0,607.0,500.0,590.0,724.0,952.0,506.0,364.0
470,735.0,579.0,489.0,584.0,755.0,974.0,520.0,371.0
480,710.0,568.0,476.0,559.0,774.0,986.0,531.0,402.0
490,686.0,554.0,471.0,535.0,802.0,1006.0,540.0,419.0
500,668.0,543.0,459.0,522.0,815.0,1016.0,549.0,431.0
510,653.0,535.0,442.0,507.0,833.0,1027.0,565.0,444.0
520,636.0,526.0,436.0,499.0,848.0,1034.0,569.0,453.0
530,609.0,518.0,422.0,489.0,873.0,1041.0,587.0,466.0
540,588.0,507.0,412.0,479.0,898.0,1052.0,596.0,478.0
550,570.0,500.0,399.0,463.0,915.0,1064.0,606.0,490.0
560,562.0,485.0,391.0,458.0,922.0,1070.0,612.0,500.0
570,554.0,477.0,382.0,448.0,935.0,1078.0,621.0,512.0
580,533.0,463.0,377.0,438.0,948.0,1093.0,628.0,521.0
590,516.0,458.0,366.0,431.0,961.0,1097.0,642.0,530.0
600,504.0,448.0,355.0,427.0,978.0,1104.0,652.0,538.0
610,492.0,437.0,347.0,419.0,985.0,1112.0,665.0,545.0
620,486.0,435.0,336.0,406.0,992.0,1119.0,674.0,554.0
630,477.0,427.0,329.0,398.0,1003.0,1125.0,682.0,564.0
640,464.0,420.0,321.0,389.0,1013.0,1128.0,691.0,574.0
650,460.0,412.0,313.0,383.0,1020.0,1132.0,701.0,582.0
660,452.0,413.0,307.0,374.0,1026.0,1133.0,706.0,591.0
670,449.0,407.0,300.0,366.0,1030.0,1139.0,712.0,597.0
680,445.0,403.0,299.0,360.0,1036.0,1143.0,714.0,603.0
690,446.0,404.0,297.0,351.0,1036.0,1145.0,714.0,608.0
700,436.0,398.0,295.0,346.0,1044.0,1149.0,718.0,615.0
710,432.0,395.0,293.0,336.0,1048.0,1150.0,721.0,627.0
720,423.0,396.0,289.0,331.0,1055.0,1151.0,723.0,635.0
730,420.0,388.0,284.0,323.0,1056.0,1156.0,730.0,643.0
740,414.0,381.0,282.0,326.0,1062.0,1157.0,734.0,646.0
750,407.0,382.0,279.0,318.0,1066.0,1160.0,737.0,651.0
760,404.0,383.0,272.0,315.0,1069.0,1162.0,743.0,654.0
770,403.0,378.0,267.0,312.0,1072.0,1167.0,746.0,657.0
780,396.0,375.0,263.0,311.0,1076.0,1167.0,751.0,661.0
790,393.0,368.0,262.0,309.0,1080.0,1169.0,754.0,665.0
800,386.0,365.0,260.0,303.0,1086.0,1172.0,759.0,671.0
810,383.0,365.0,255.0,299.0,1090.0,1174.0,761.0,674.0
820,381.0,360.0,252.0,293.0,1095.0,1179.0,764.0,677.0
830,379.0,357.0,250.0,290.0,1095.0,1184.0,765.0,682.0
840,378.0,352.0,247.0,287.0,1098.0,1187.0,766.0,686.0
850,372.0,352.0,242.0,287.0,1101.0,1190.0,769.0,688.0
860,371.0,351.0,238.0,285.0,1103.0,1193.0,773.0,690.0
870,366.0,350.0,234.0,279.0,1107.0,1195.0,777.0,693.0
880,362.0,348.0,231.0,277.0,1110.0,1197.0,779.0,696.0
890,364.0,346.0,230.0,277.0,1112.0,1197.0,780.0,696.0
900,362.0,346.0,227.0,274.0,1114.0,1198.0,780.0,699.0
910,358.0,341.0,231.0,274.0,1118.0,1200.0,781.0,699.0
920,359.0,340.0,226.0,273.0,1118.0,1202.0,783.0,699.0
930,353.0,337.0,227.0,269.0,1122.0,1205.0,785.0,702.0
940,351.0,337.0,226.0,267.0,1124.0,1205.0,786.0,705.0
950,349.0,335.0,225.0,266.0,1124.0,1209.0,787.0,706.0
960,346.0,332.0,224.0,264.0,1128.0,1211.0,790.0,707.0
970,347.0,331.0,221.0,261.0,1128.0,1213.0,792.0,709.0
980,346.0,328.0,221.0,258.0,1129.0,1214.0,795.0,711.0
990,343.0,318.0,222.0,261.0,1131.0,1219.0,796.0,711.0
1000,343.0,318.0,223.0,256.0,1131.0,1220.0,796.0,713.0
1010,341.0,317.0,221.0,255.0,1131.0,1221.0,800.0,715.0
1020,340.0,316.0,223.0,252.0,1132.0,1221.0,800.0,716.0
