Timestep,Sector,Num CellSmutans,OccupiedSpace CellSmutans,Target CellSmutans,Num CellSmitis,OccupiedSpace CellSmitis,Target CellSmitis,Num Macromoleculeahl,OccupiedSpace Macromoleculeahl,Diffusion Rate Macromoleculeahl,Target Macromoleculeahl,EmptySpace Sector
0,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
0,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
0,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
0,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
0,4,1,0.0,1,1,0.0,1,3066,1.5296406548665135e-05,1.0,2310,4.587859703593451
0,5,0,0.0,0,0,0.0,0,975,4.864317150994295e-06,1.0,1145,4.587870135682849
0,6,0,0.0,0,0,0.0,0,770,3.841563288477545e-06,1.0,834,4.587871158436711
0,7,0,0.0,0,0,0.0,0,3,1.4967129695367058e-08,1.0,48,4.58787498503287
50,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
50,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
50,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
50,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
50,4,1,0.0,1,1,0.0,1,2310,1.1524689865432636e-05,1.0,1918,4.587863475310134
50,5,0,0.0,0,0,0.0,0,1145,5.712454500398428e-06,1.0,1227,4.587869287545499
50,6,0,0.0,0,0,0.0,0,834,4.160862055312042e-06,1.0,841,4.587870839137945
50,7,0,0.0,0,0,0.0,0,48,2.3947407512587293e-07,1.0,115,4.587874760525924
100,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
100,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
100,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
100,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
100,4,1,0.0,1,1,0.0,1,1918,9.56898491857134e-06,1.0,1517,4.587865431015081
100,5,0,0.0,0,0,0.0,0,1227,6.121556045405127e-06,1.0,1283,4.587868878443954
100,6,0,0.0,0,0,0.0,0,841,4.195785357934565e-06,1.0,807,4.587870804214641
100,7,0,0.0,0,0,0.0,0,115,5.737399716557373e-07,1.0,181,4.5878744262600275
150,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
150,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
150,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
150,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
150,4,1,0.0,1,1,0.0,1,1517,7.568378582623943e-06,1.0,1220,4.587867431621417
150,5,0,0.0,0,0,0.0,0,1283,6.400942466385312e-06,1.0,1309,4.587868599057533
150,6,0,0.0,0,0,0.0,0,807,4.0261578880537385e-06,1.0,764,4.5878709738421115
150,7,0,0.0,0,0,0.0,0,181,9.030168249538126e-07,1.0,240,4.587874096983175
200,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
200,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
200,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
200,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
200,4,1,0.0,1,1,0.0,1,1220,6.086632742782604e-06,1.0,1009,4.587868913367257
200,5,0,0.0,0,0,0.0,0,1309,6.530657590411827e-06,1.0,1303,4.587868469342409
200,6,0,0.0,0,0,0.0,0,764,3.811629029086811e-06,1.0,719,4.58787118837097
200,7,0,0.0,0,0,0.0,0,240,1.1973703756293647e-06,1.0,291,4.587873802629624
250,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
250,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
250,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
250,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
250,4,1,0.0,1,1,0.0,1,1009,5.033944620875121e-06,1.0,862,4.587869966055378
250,5,0,0.0,0,0,0.0,0,1303,6.500723331021092e-06,1.0,1279,4.587868499276668
250,6,0,0.0,0,0,0.0,0,719,3.5871220836563054e-06,1.0,686,4.587871412877916
250,7,0,0.0,0,0,0.0,0,291,1.4518115804506047e-06,1.0,346,4.587873548188419
300,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
300,1,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
300,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
300,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
300,4,1,0.0,1,1,0.0,1,862,4.300555265802135e-06,1.0,729,4.587870699444734
300,5,0,0.0,0,0,0.0,0,1279,6.3809862934581564e-06,1.0,1263,4.587868619013706
300,6,0,0.0,0,0,0.0,0,686,3.4224836570072677e-06,1.0,639,4.587871577516342
300,7,0,0.0,0,0,0.0,0,346,1.7262089581990008e-06,1.0,396,4.5878732737910415
350,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
